Altitude,Density,Sound_speed,Mach,CD
0,0.00237717,1116.45,0,0.5
5000,0.00204834,1097.09,0.4,0.52
10000,0.00175549,1077.39,0.8,0.66
15000,0.00149581,1057.31,1.2,0.93
20000,0.00126659,1036.85,1.6,1.03
25000,0.00106526,1015.98,2,1.01
30000,0.000889378,994.664,2.4,0.99
35000,0.000736627,972.885,2.8,0.97
40000,0.000585189,968.076,3.2,0.95
45000,0.00046018,968.076,3.6,0.93
50000,0.000361876,968.076,4,0.92
55000,0.00028457,968.076,,
60000,0.000223781,968.076,,
65000,0.000175976,968.076,,
70000,0.000137625,971.056,,
75000,0.000107722,974.445,,
80000,0.000084459,977.822,,
85000,6.63E-05,981.187,,
90000,5.22E-05,984.541,,
95000,0.000041114,987.883,,
100000,3.24E-05,991.214,,